Applicatie;Cluster;Bedrijfskritisch;Type;Omvang;Levernacier;Type;Database;Cloud;In gebruik
7Zip;Informatievoorziening ;Nee;Kantoorautomatisering (KA);Klein;;Client;;On-premise;In gebruik
AAG;Juridische Zaken ;Nee;Vakapplicatie;Groot;Bentis BV;Client;;On-premise;In gebruik
Acrobat reader Pro;Informatievoorziening ;Nee;Kantoorautomatisering (KA);Klein;;Client;;On-premise;In gebruik
ADLIB Design / Archeologie;Omgevingsbeleid ;Nee;Vakapplicatie;klein;Adaptec;Client;MS-SQL;On-premise;In gebruik
Adobe Reader;Informatievoorziening ;Nee;Kantoorautomatisering (KA);Klein;;Client;;On-premise;In gebruik
Alfresco;Informatievoorziening ;Nee;Beheer en ontwikkeling;Groot;SoftwareHuis gemeente;Server;Postgress;On-premise;In gebruik
Allegro;SMSR ;Ja;Vakapplicatie;Groot;Kred'it Informatietechnologie;Client/Server;;On-premise;In gebruik
Alternatiff;Informatievoorziening ;Nee;Kantoorautomatisering (KA);Klein;;;;On-premise;In gebruik
Angular;Informatievoorziening ;Nee;Beheer en ontwikkeling;;;;;On-premise;In gebruik
AppGroup Login (Intern);Informatievoorziening ;Nee;Beheer en ontwikkeling;Klein;SoftwareHuis gemeente;Server;MS-SQL;On-premise;In gebruik
Appvolumes;Informatievoorziening ;Nee;Beheer en ontwikkeling;Groot;;Server;MS-SQL;On-premise;In gebruik
Archi;Informatievoorziening ;Nee;Vakapplicatie;klein;;Client;;On-premise;In gebruik
Archief vernietigingscomponent;Informatievoorziening ;Nee;nvt;;;;;On-premise;Incompleet
ATLAS.ti;NH Veilig ;Nee;Kantoorautomatisering (KA);klein;;Client;;On-premise;In gebruik
Azure Web Application Proxy;Informatievoorziening ;Nee;Beheer en ontwikkeling;Klein;;Server;;On-premise;In gebruik
Balie app;Klantcontactcentrum ;Nee;digitale dienstverlening;Klein;SoftwareHuis gemeente;Client/Server;;On-premise;In gebruik
BBP (Beleids Bestuurlijke Planning);Bestuur en Communicatie ;Nee;Vakapplicatie;Klein;;;;On-premise;In gebruik
Beheer verloren en gevonden voorwerpen;Klantcontactcentrum ;Nee;digitale dienstverlening;Klein;;Client;;On-premise;In gebruik
Belastingdienst Aangifte;Financi?n ;Nee;Vakapplicatie;Klein;;Client;;On-premise;In gebruik
Bentley MicroStation CONNECT;DIA ;Nee;Vakapplicatie;Klein;Bentley Systems Inc.;Client;;On-premise;In gebruik
Bentley Open Cities Map;DIA ;Nee;Vakapplicatie;Groot;Bentley Systems Inc.;Client ;Oracle;On-premise;In gebruik
BeveiligingsNET;Klantcontactcentrum ;Nee;Vakapplicatie;Klein;;Client;;On-premise;In gebruik
Bezoekersparkeren beheer backoffice;VTH ;Nee;digitale dienstverlening;Groot;SoftwareHuis gemeente;Client/Server;;On-premise;In gebruik
Bezoekersparkeren beheerformulier;VTH ;Nee;Backoffice dienstverlening;Klein;SoftwareHuis gemeente;Client/Server;;On-premise;In gebruik
Bezoekersparkeren formulier;VTH ;Nee;digitale dienstverlening;klein;SoftwareHuis gemeente;Client/Server;;On-premise;In gebruik
Bezoekersparkeren-app;VTH ;Nee;digitale dienstverlening;klein;SoftwareHuis gemeente;Client ;;On-premise;In gebruik
BOA;VTH ;Nee;Vakapplicatie;klein;;;;On-premise;In gebruik
Borland Database Engine;Informatievoorziening ;Nee;Database;Klein;;Server;;On-premise;In gebruik
Camtasia;Bestuur en Communicatie ;Nee;Vakapplicatie;Klein;;;;On-premise;In gebruik
Camunda;Informatievoorziening ;Nee;Beheer en ontwikkeling;Klein;;Server;Postgress;On-premise;In gebruik
Canon;Informatievoorziening ;Nee;Beheer en ontwikkeling;Klein;;Client;;On-premise;In gebruik
CAPICOM;Informatievoorziening ;Nee;Beheer en ontwikkeling;Klein;;Client ;;On-premise;In gebruik
CaPS;Veiligheid en Handhaving ;Nee;Vakapplicatie;Groot;ArgoNexus B.V.;Client ;;On-premise;In gebruik
Cardexchange;Facilitaire Zaken ;Nee;Vakapplicatie;Groot;Aras Security;Server;;On-premise;In gebruik
Check Point;Informatievoorziening ;Nee;Beheer en ontwikkeling;Groot;;Server;;On-premise;In gebruik
Commvault;Informatievoorziening ;Nee;Beheer en ontwikkeling;Groot;;Server;;On-premise;In gebruik
crystal reports;Financi?n ;Nee;Vakapplicatie;Klein;;Client;;On-premise;In gebruik
Cyclomedia Street Smart;DIA ;Nee;Vakapplicatie;klein;;Client;MS-SQL;On-premise;In gebruik
DasWeb (Data Access Studio 8.0);Financi?n ;Nee;Kantoorautomatisering (KA);Klein;;Server;;On-premise;In gebruik
data.gemeente.nl en dataintern.gemeente.nl;DIA ;Nee;digitale dienstverlening;Groot;;Server;;;
Dell Wyse;Informatievoorziening ;Nee;Beheer en ontwikkeling;Klein;;Server;;On-premise;In gebruik
Dezta plan;Omgevingsbeleid ;Nee;Vakapplicatie;Klein;;Client ;;On-premise;In gebruik
dg Dialog BGT;DIA ;Ja;Vakapplicatie;Groot;;Client/Server;Oracle;On-premise;In gebruik
DigiD SAML Connector;Klantcontactcentrum ;Nee;Beheer en ontwikkeling;Groot;SoftwareHuis gemeente;Server;;On-premise;In gebruik
DLR;Informatievoorziening ;Nee;Beheer en ontwikkeling;Klein;;;;On-premise;In gebruik
Dotnet Framework;Informatievoorziening ;Nee;Beheer en ontwikkeling;Klein;Microsoft B.V;;;On-premise;In gebruik
Dpan Nazorg;Veiligheid en Handhaving ;Nee;Vakapplicatie;Klein;;Server;;On-premise;In gebruik
Dragon;HRM ;Nee;Vakapplicatie;Klein;Mensys;Client;;On-premise;In gebruik
Duxbury;OnBekend;Nee;Vakapplicatie;Klein;;Client;;On-premise;In gebruik
Dymo Labelwriter;Facilitaire Zaken ;Nee;Vakapplicatie;Klein;;Client;;On-premise;In gebruik
